"","ID","lake","goby","point","pointL","x","y"
"63","MIS01_G2_L2.JPG ","MIS01","G2",3,"C",28.632068464,24.654960552
"64","MIS01_G2_L2.JPG ","MIS01","G2",4,"D",34.213684328,25.275142284
"65","MIS01_G2_L2.JPG ","MIS01","G2",5,"E",35.578072304,28.500075456
"66","MIS01_G2_L2.JPG ","MIS01","G2",6,"F",51.8267824,31.47693988
"67","MIS01_G2_L2.JPG ","MIS01","G2",7,"G",49.59412422,24.779004788
"68","MIS01_G2_L2.JPG ","MIS01","G2",8,"H",49.346055472,6.2976601808
"69","MIS01_G2_L2.JPG ","MIS01","G2",9,"I",39.051093948,13.1196316192
"70","MIS01_G2_L2.JPG ","MIS01","G2",10,"J",29.376294432,15.3522779648
"71","MIS01_G2_L2.JPG ","MIS01","G2",11,"K",28.135930968,17.7089586844
"72","MIS01_G2_L2.JPG ","MIS01","G2",12,"L",21.81010886,17.460887964
"73","MIS01_G3_L2.JPG ","MIS01","G3",1,"A",24.229248043,20.721275575
"74","MIS01_G3_L2.JPG ","MIS01","G3",2,"B",24.604247525,22.09626705
"75","MIS01_G3_L2.JPG ","MIS01","G3",3,"C",31.104145787,28.22116583
"76","MIS01_G3_L2.JPG ","MIS01","G3",4,"D",36.104065998,27.096187261
"77","MIS01_G3_L2.JPG ","MIS01","G3",5,"E",36.979051538,30.971128903
"78","MIS01_G3_L2.JPG ","MIS01","G3",6,"F",53.603776798,32.971093012
"79","MIS01_G3_L2.JPG ","MIS01","G3",7,"G",51.603812689,26.596181326
"80","MIS01_G3_L2.JPG ","MIS01","G3",8,"H",49.228849098,8.2214810106
"81","MIS01_G3_L2.JPG ","MIS01","G3",9,"I",40.853973303,13.5963967282
"82","MIS01_G3_L2.JPG ","MIS01","G3",10,"J",31.604131845,15.8463598293
"83","MIS01_G3_L2.JPG ","MIS01","G3",11,"K",30.104153794,17.8463279137
"84","MIS01_G3_L2.JPG ","MIS01","G3",12,"L",23.854248561,18.9713104581
"85","MIS01_G4_L2.JPG ","MIS01","G4",1,"A",23.298521348,21.306002868
"86","MIS01_G4_L2.JPG ","MIS01","G4",2,"B",23.54660982,22.670390844
"87","MIS01_G4_L2.JPG ","MIS01","G4",3,"C",30.49261366,27.755869212
"88","MIS01_G4_L2.JPG ","MIS01","G4",4,"D",34.83386606,27.507800464
"89","MIS01_G4_L2.JPG ","MIS01","G4",5,"E",36.322298272,30.484645164
"90","MIS01_G4_L2.JPG ","MIS01","G4",6,"F",51.578713652,32.221146124
"91","MIS01_G4_L2.JPG ","MIS01","G4",7,"G",49.718168456,25.895324016
"92","MIS01_G4_L2.JPG ","MIS01","G4",8,"H",48.72587374,7.5380177276
"93","MIS01_G4_L2.JPG ","MIS01","G4",9,"I",38.554936728,13.6157750324
"94","MIS01_G4_L2.JPG ","MIS01","G4",10,"J",29.252250196,16.2205284448
"95","MIS01_G4_L2.JPG ","MIS01","G4",11,"K",28.632068464,18.0810677236
"96","MIS01_G4_L2.JPG ","MIS01","G4",12,"L",22.554315104,19.07335455
"97","MIS01_G5_L2.JPG ","MIS01","G5",1,"A",29.306089795,28.962054352
"98","MIS01_G5_L2.JPG ","MIS01","G5",2,"B",30.806080086,30.962050241
"99","MIS01_G5_L2.JPG ","MIS01","G5",3,"C",36.972718617,35.462021114
"100","MIS01_G5_L2.JPG ","MIS01","G5",4,"D",43.306034515,35.628698481
"101","MIS01_G5_L2.JPG ","MIS01","G5",5,"E",45.472681268,39.128684661
"102","MIS01_G5_L2.JPG ","MIS01","G5",6,"F",61.805976611,40.295346721
"103","MIS01_G5_L2.JPG ","MIS01","G5",7,"G",60.805965415,33.962030823
"104","MIS01_G5_L2.JPG ","MIS01","G5",8,"H",57.305979235,12.2954413792
"105","MIS01_G5_L2.JPG ","MIS01","G5",9,"I",46.806020695,19.7954166869
"106","MIS01_G5_L2.JPG ","MIS01","G5",10,"J",36.639390386,22.9620719856
"107","MIS01_G5_L2.JPG ","MIS01","G5",11,"K",34.47271713,26.2953967004
"108","MIS01_G5_L2.JPG ","MIS01","G5",12,"L",27.972750368,25.795396403
"109","MIS01_G6_L2.JPG ","MIS01","G6",1,"A",25.833931419,22.3961950694
"110","MIS01_G6_L2.JPG ","MIS01","G6",2,"B",26.691089263,24.110483497
"111","MIS01_G6_L2.JPG ","MIS01","G6",3,"C",33.833972856,29.110495197
"112","MIS01_G6_L2.JPG ","MIS01","G6",4,"D",38.976829052,28.25336007
"113","MIS01_G6_L2.JPG ","MIS01","G6",5,"E",40.405410314,31.967657721
"114","MIS01_G6_L2.JPG ","MIS01","G6",6,"F",56.976893889,32.967660061
"115","MIS01_G6_L2.JPG ","MIS01","G6",7,"G",54.6911775,25.967643681
"116","MIS01_G6_L2.JPG ","MIS01","G6",8,"H",52.262593898,6.6818625233
"117","MIS01_G6_L2.JPG ","MIS01","G6",9,"I",41.262568158,13.3961671943
"118","MIS01_G6_L2.JPG ","MIS01","G6",10,"J",32.405391594,17.1104648453
"119","MIS01_G6_L2.JPG ","MIS01","G6",11,"K",31.262522041,18.9676136708
"120","MIS01_G6_L2.JPG ","MIS01","G6",12,"L",25.262508001,20.9676183508
"121","MIS01_G7_L2.JPG ","MIS01","G7",1,"A",21.377173637,15.997559336
"122","MIS01_G7_L2.JPG ","MIS01","G7",2,"B",21.874696226,17.191610385
"123","MIS01_G7_L2.JPG ","MIS01","G7",3,"C",26.949401317,20.674268508
"124","MIS01_G7_L2.JPG ","MIS01","G7",4,"D",31.228082924,20.37575179
"125","MIS01_G7_L2.JPG ","MIS01","G7",5,"E",32.024122231,23.16186563
"126","MIS01_G7_L2.JPG ","MIS01","G7",6,"F",43.865106051,24.057399961
"127","MIS01_G7_L2.JPG ","MIS01","G7",7,"G",42.96957172,19.878229201
"128","MIS01_G7_L2.JPG ","MIS01","G7",8,"H",42.074037389,5.549632436
"129","MIS01_G7_L2.JPG ","MIS01","G7",9,"I",33.616185022,10.1268228495
"130","MIS01_G7_L2.JPG ","MIS01","G7",10,"J",26.849906293,12.6144263007
"131","MIS01_G7_L2.JPG ","MIS01","G7",11,"K",25.257827679,14.704013263
"132","MIS01_G7_L2.JPG ","MIS01","G7",12,"L",21.178167766,15.0025252341
"133","MIS01_G8_L2.JPG ","MIS01","G8",1,"A",29.979147341,23.471238648
"134","MIS01_G8_L2.JPG ","MIS01","G8",2,"B",30.479153276,24.971216699
"135","MIS01_G8_L2.JPG ","MIS01","G8",3,"C",36.729038632,29.721143881
"136","MIS01_G8_L2.JPG ","MIS01","G8",4,"D",41.353979238,28.596165312
"137","MIS01_G8_L2.JPG ","MIS01","G8",5,"E",42.228964778,31.221121932
"138","MIS01_G8_L2.JPG ","MIS01","G8",6,"F",54.728755367,31.971101019
"139","MIS01_G8_L2.JPG ","MIS01","G8",7,"G",53.853769827,27.471166866
"140","MIS01_G8_L2.JPG ","MIS01","G8",8,"H",52.853797711,11.5964266561
"141","MIS01_G8_L2.JPG ","MIS01","G8",9,"I",45.353907456,17.0963408759
"142","MIS01_G8_L2.JPG ","MIS01","G8",10,"J",37.104038114,19.5963009814
"143","MIS01_G8_L2.JPG ","MIS01","G8",11,"K",35.604060063,22.221253626
"144","MIS01_G8_L2.JPG ","MIS01","G8",12,"L",29.479161283,21.846274021
"145","MIS17_G11_L2.JPG ","MIS17","G11",1,"A",30.740682408,17.8329950308
"146","MIS17_G11_L2.JPG ","MIS17","G11",2,"B",31.732977124,19.4454616168
"147","MIS17_G11_L2.JPG ","MIS17","G11",3,"C",38.927049712,24.158823056
"148","MIS17_G11_L2.JPG ","MIS17","G11",4,"D",44.136552592,23.538641324
"149","MIS17_G11_L2.JPG ","MIS17","G11",5,"E",45.376916056,26.763574496
"150","MIS17_G11_L2.JPG ","MIS17","G11",6,"F",57.532422776,26.887618732
"151","MIS17_G11_L2.JPG ","MIS17","G11",7,"G",57.532422776,20.685821136
"152","MIS17_G11_L2.JPG ","MIS17","G11",8,"H",57.656467012,3.1967633552
"153","MIS17_G11_L2.JPG ","MIS17","G11",9,"I",45.25287182,11.3831306592
"154","MIS17_G11_L2.JPG ","MIS17","G11",10,"J",36.694411256,14.980170898
"155","MIS17_G11_L2.JPG ","MIS17","G11",11,"K",34.957910296,16.8407082044
"156","MIS17_G11_L2.JPG ","MIS17","G11",12,"L",30.368569424,13.2436679656
"157","MIS17_G12_L2.JPG ","MIS17","G12",1,"A",27.621108112,15.160932384
"158","MIS17_G12_L2.JPG ","MIS17","G12",2,"B",27.621108112,15.979098616
"159","MIS17_G12_L2.JPG ","MIS17","G12",3,"C",30.530161272,18.433611768
"160","MIS17_G12_L2.JPG ","MIS17","G12",4,"D",33.348286192,18.251798656
"161","MIS17_G12_L2.JPG ","MIS17","G12",5,"E",33.984653768,20.706297352
"162","MIS17_G12_L2.JPG ","MIS17","G12",6,"F",40.802724976,22.342629816
"163","MIS17_G12_L2.JPG ","MIS17","G12",7,"G",40.439084296,18.61542488
"164","MIS17_G12_L2.JPG ","MIS17","G12",8,"H",41.439078096,10.2519190904
"165","MIS17_G12_L2.JPG ","MIS17","G12",9,"I",35.620986232,13.0700555752
"166","MIS17_G12_L2.JPG ","MIS17","G12",10,"J",30.711974384,13.1609635768
"167","MIS17_G12_L2.JPG ","MIS17","G12",11,"K",30.166520592,13.9791327
"168","MIS17_G12_L2.JPG ","MIS17","G12",12,"L",27.802921224,14.2518552592
"169","MIS17_G13_L2.JPG ","MIS17","G13",1,"A",26.90401162,17.731679576
"170","MIS17_G13_L2.JPG ","MIS17","G13",2,"B",27.070682024,18.481716272
"171","MIS17_G13_L2.JPG ","MIS17","G13",3,"C",30.487471688,21.14846924
"172","MIS17_G13_L2.JPG ","MIS17","G13",4,"D",33.987589928,20.815128432
"173","MIS17_G13_L2.JPG ","MIS17","G13",5,"E",34.570942968,23.148540592
"174","MIS17_G13_L2.JPG ","MIS17","G13",6,"F",42.237874316,23.315210996
"175","MIS17_G13_L2.JPG ","MIS17","G13",7,"G",42.321216144,20.648458028
"176","MIS17_G13_L2.JPG ","MIS17","G13",8,"H",40.237802964,11.3147974612
"177","MIS17_G13_L2.JPG ","MIS17","G13",9,"I",35.654320472,14.14823276
"178","MIS17_G13_L2.JPG ","MIS17","G13",10,"J",31.154166556,15.481609244
"179","MIS17_G13_L2.JPG ","MIS17","G13",11,"K",29.987447224,17.06499796
"180","MIS17_G13_L2.JPG ","MIS17","G13",12,"L",26.90401162,17.148326536
"181","MIS17_G34_L2.JPG ","MIS17","G34",1,"A",30.854132881,18.2213234203
"182","MIS17_G34_L2.JPG ","MIS17","G34",2,"B",30.979139334,19.5963009814
"183","MIS17_G34_L2.JPG ","MIS17","G34",3,"C",34.604087947,23.721231677
"184","MIS17_G34_L2.JPG ","MIS17","G34",4,"D",39.728994734,23.84623813
"185","MIS17_G34_L2.JPG ","MIS17","G34",5,"E",40.853973303,26.721187779
"186","MIS17_G34_L2.JPG ","MIS17","G34",6,"F",50.353827667,28.471158859
"187","MIS17_G34_L2.JPG ","MIS17","G34",7,"G",49.978828185,25.221209728
"188","MIS17_G34_L2.JPG ","MIS17","G34",8,"H",51.728819142,11.9714221627
"189","MIS17_G34_L2.JPG ","MIS17","G34",9,"I",42.103958325,15.9713583315
"190","MIS17_G34_L2.JPG ","MIS17","G34",10,"J",36.854045085,16.3463518504
"191","MIS17_G34_L2.JPG ","MIS17","G34",11,"K",35.479073487,17.596332897
"192","MIS17_G34_L2.JPG ","MIS17","G34",12,"L",30.854132881,16.2213533482
"193","MIS17_G35_L2.JPG ","MIS17","G35",1,"A",28.983971124,16.177438542
"194","MIS17_G35_L2.JPG ","MIS17","G35",2,"B",29.083978802,17.477458846
"195","MIS17_G35_L2.JPG ","MIS17","G35",3,"C",32.98400791,21.677495086
